Hotel_Name,Hotel_Reviews,H_Price_Range,H_Ratings
Best Western - The Delmere Hotel,9,£,3.5
London City Hotel,4,££,4
Crescent Hotel,6,£££,4.5
The Albro House Motel,1,£££,5
Royal Eagle,10,££,2.5
Holiday Inn Express Hotel London-Swiss Cottage,14,£££,3.5
Travelodge,1,£££,4
Southwark Rose Hotel,4,£££,3.5
Travel Lord,,£££,
Flexistay Aparthotel,1,£££,3
Holiday Inn Express,7,££,2.5
Kimpton Fitzroy London,9,£££,4.5
Jumeirah Carlton Tower,12,££££,3.5
Kandara Guest House,1,£££,4
Winrose Hotel,1,££,3
Canary Riverside Plaza Hotel,,££,5
Haverstock Hotel,1,££,5
Novotel - Canary Wharf,7,££,4.5
The President Hotel,19,££,2.5
DoubleTree by Hilton Hotel London - Chelsea,9,££,4
soho hotel,1,££,5
The Judd Hotel,10,££,2
Hilton London Canary Wharf,24,£££,4.5
Sohostel,6,£££,5
11 Cadogan Gardens,11,££,4.5
Souvenir Centre,1,£,5
Royal Garden Hotel,22,£££,3.5
Danubius Hotel,25,£££,4
Limos of London,1,£££,5
The Unique Traveller,,£££,4
The Montcalm Brewery London City,25,£££,4
LSE Passfield Hall,2,£££,5
Adria Hotel,5,£££,4
,4,££,5
Arriva Hotel,8,£,
Ibis Shepherds Bush,2,££,4
Hotel Indigo,2,££,4.5
Holiday Inn Express ,7,££,4
The Wimbledon Hotel,1,££,4
Flemings Mayfair Hotel,26,£££,3.5
Smart City Apartments Covent Garden,,£££,
The Capital Townhouse,1,£££,5
The Chelsea Harbour Hotel,4,££,4.5
Brick Lane Hotel,,£,
Canonbury,1,£,4
Oxbridge Apartments,1,£,5
The RE London Shoreditch,28,££,3
Tucan Travel,1,££,5
Charlies Hotel,2,£,4
City Hotel London,6,££,4
Glendale Hydepark Hotel,1,££,4
Nobu Hotel Shoreditch,11,££,4
Euro Hotel,6,££,3
"Great Northern Hotel, a Tribute Portfolio Hotel, London",24,£££,4.5
Seven Dials Hotel,6,£££,4
Travelodge London Vauxhall,2,££,3
Holiday Inn Express Hotel Wandsworth-Battersea,10,££,3.5
The Dixon,14,££,4
Good Hotel London,5,££,5
Pinfold House,,££,
Palmers Lodge,35,££,4
Travelodge Battersea,1,££,4
Citadines Barbican,5,££,3
Qbic Hotel ,19,££,4
High Holborn Hall - Early Summer,1,££,5
