,url,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,awards,places,awards_count
200,https://www.goodreads.com/book/show/10959.Sophie_s_World,Sophie's World,"Jostein Gaarder, ",11658,211882,3.94,403,1991,False,"['Philosophy', 'Fiction', 'Classics']","Buxtehuder Bulle (1996), Premio Bancarella (1995), Deutscher Jugendliteraturpreis for Jugendbuch (1994), Prix des libraires du Québec for Lauréats hors Québec (1996), دار المنى...moreLiteraturpreis der Jury der jungen Leser for Jugendbuch (1997), Premio San Clemente for Novela Estranxeira (1996), Prime Minister of Pakistan's Award for Literature...less ",,7
201,https://www.goodreads.com/book/show/40024.The_Alienist,The Alienist,Caleb Carr (Goodreads Author),7470,159621,4.05,498,1994,True,"['Historical', 'Historical Fiction', 'Mystery']","Anthony Award for Best First Novel (1995), Grand Prix de Littérature Policière for Romans étrangers (1996), Lambda Literary Award Nominee for Gay Men's Mystery (1995), Palle Rosenkrantz Prisen (1997)",United States,4
202,https://www.goodreads.com/book/show/8921.The_Hound_of_the_Baskervilles,The Hound of the Baskervilles,"Arthur Conan Doyle, ",8677,270661,4.12,256,1901,True,"['Classics', 'Mystery', 'Fiction']","Audie Award for Best Audio Drama (2015), CWA Best Ever Nominee for Crime Novel (2013)",United Kingdom,2
203,https://www.goodreads.com/book/show/15622.Native_Son,Native Son,Richard Wright,4011,93016,3.99,504,1940,False,"['Fiction', 'Classics', 'Historical']",New York Drama Critics' Circle Award Nominee for Best American Play,United States,1
204,https://www.goodreads.com/book/show/2839.Bridge_to_Terabithia,Bridge to Terabithia,Katherine Paterson,12990,468767,4.0,128,1977,False,"['Fiction', 'Young Adult', 'Classics']","Newbery Medal (1978), Lewis Carroll Shelf Award (1978), Zilveren Griffel (1983), Dorothy Canfield Fisher Children's Book Award Nominee (1979), California Young Readers Medal Nominee for Middle School/Junior High (1980)",United States,5
205,https://www.goodreads.com/book/show/27712.The_Neverending_Story,The Neverending Story,"Michael Ende, ",7006,176073,4.16,396,1979,False,"['Fantasy', 'Classics', 'Fiction']","Buxtehuder Bulle (1979), Zilveren Griffel (1983), Preis der Leseratten des ZDF (1980)",,3
206,https://www.goodreads.com/book/show/527756.The_Man_Without_Qualities,The Man Without Qualities,"Robert Musil, ",341,5852,4.22,1774,1930,True,"['Fiction', 'Classics', 'Philosophy']","Prix du Meilleur Livre Étranger for Novel (1958), Национална награда „Христо Г. Данов“ for Преводна художествена литература (2009)",Austria,2
207,https://www.goodreads.com/book/show/42697.Exodus,Exodus,Leon Uris,1827,92938,4.34,608,1958,False,"['Historical', 'Historical Fiction', 'Fiction']",National Jewish Book Award for Fiction (1959),,1
208,https://www.goodreads.com/book/show/2865.Girl_with_a_Pearl_Earring,Girl with a Pearl Earring,Tracy Chevalier (Goodreads Author),10145,647275,3.9,233,1999,False,"['Historical', 'Historical Fiction', 'Fiction']","Orange Prize Nominee for Fiction Longlist (2000), ALA Alex Award (2001), Lincoln Award Nominee (2006), Premi Llibreter de narrativa Nominee (2001)",Netherlands,4
209,https://www.goodreads.com/book/show/1845.Into_the_Wild,Into the Wild,Jon Krakauer (Goodreads Author),22530,917680,3.99,207,1996,False,"['Nonfiction', 'Biography', 'Adventure']",Washington State Book Award (1997),United States,1
