iter	MultiClass
0	1.015676562
1	0.9443379923
2	0.881716544
3	0.822525736
4	0.7701425937
5	0.7203990681
6	0.6735676763
7	0.6333493122
8	0.6021876851
9	0.5730524308
10	0.5373980185
11	0.5134061172
12	0.489045156
13	0.4704200994
14	0.4461376285
15	0.4245091691
16	0.4049459983
17	0.3855436037
18	0.3680645616
19	0.3526382866
20	0.3377475405
21	0.3255723137
22	0.3124152928
23	0.3008180385
24	0.2892482012
25	0.2798614776
26	0.2685618425
27	0.2593693757
28	0.2505813322
29	0.2413504151
30	0.230421244
31	0.2237053789
32	0.216889949
33	0.2101963967
34	0.204432843
35	0.1979519821
36	0.189517633
37	0.1844117528
38	0.1788073884
39	0.175301387
40	0.170409712
41	0.1659753954
42	0.1619501854
43	0.1573341104
44	0.1532119745
45	0.1487791974
46	0.1451359644
47	0.1421674905
48	0.1377820701
49	0.1342316891
50	0.131510598
51	0.1279254862
52	0.124858115
53	0.1220459302
54	0.1195976349
55	0.1164811312
56	0.1140403951
57	0.1116133236
58	0.1089180878
59	0.1064647866
60	0.1039208263
61	0.1016478825
62	0.1000843857
63	0.09821378742
64	0.09591424837
65	0.09341236171
66	0.09186763787
67	0.08953888896
68	0.08743836831
69	0.08584675308
70	0.08402079675
71	0.08281921672
72	0.08169264476
73	0.08032850814
74	0.07858174212
75	0.07693134603
76	0.07550749132
77	0.07418856228
78	0.07301143593
79	0.07153553683
80	0.07020450483
81	0.06906737324
82	0.06789150847
83	0.06668790977
84	0.06547679009
85	0.06455740319
86	0.06331781564
87	0.06257364507
88	0.06150456242
89	0.06044471695
90	0.05890544106
91	0.05807359349
92	0.05715292252
93	0.05624852785
94	0.05542957099
95	0.05460933791
96	0.05364617252
97	0.05275230968
98	0.05183943
99	0.05110868395
100	0.05037543738
101	0.04943572594
102	0.04864549022
103	0.04777814208
104	0.04715835896
105	0.04625813157
106	0.04557118608
107	0.04490533679
108	0.04419307138
109	0.0435702703
110	0.0428940993
111	0.04244439238
112	0.04198239414
113	0.0418569118
114	0.04106295389
115	0.04049999058
116	0.03971799782
117	0.03908716792
118	0.03864514836
119	0.03801782518
120	0.03724713034
121	0.0370813501
122	0.03663245241
123	0.03606125247
124	0.03543794881
125	0.03532572751
126	0.03486973115
127	0.03475263944
128	0.03413601481
129	0.03404735469
130	0.0335085806
131	0.03340518931
132	0.03329974713
133	0.03284404898
134	0.03235695342
135	0.03201180257
136	0.03151881181
137	0.03114175916
138	0.03078432602
139	0.03035735794
140	0.03026351973
141	0.02997782499
142	0.02990761473
143	0.02983027008
144	0.02976315117
145	0.02934952625
146	0.02904278125
147	0.0288189181
148	0.02874492719
149	0.02845353154
150	0.02839833572
151	0.02801466198
152	0.02773379853
153	0.02745263736
154	0.02712476858
155	0.02675669344
156	0.02647303419
157	0.02622268802
158	0.02594993881
159	0.02572975921
160	0.02566220601
161	0.02560047914
162	0.02555042735
163	0.02539049877
164	0.02533294535
165	0.02510503627
166	0.02488825599
167	0.02464345023
168	0.0245886845
169	0.02432099649
170	0.02428241326
171	0.02396806351
172	0.02380419959
173	0.02347878137
174	0.02328610609
175	0.02312427287
176	0.0228925048
177	0.0228439986
178	0.02279466315
179	0.02256922596
180	0.02237540006
181	0.02232982848
182	0.02212783413
183	0.0219327205
184	0.0218883907
185	0.02160875941
186	0.02145043775
187	0.02127715102
188	0.02110097567
189	0.02105684459
190	0.02082419847
191	0.02078748548
192	0.02064552112
193	0.02043127298
194	0.02023728524
195	0.020194445
196	0.02015775221
197	0.02012116378
198	0.01992271251
199	0.01969533458
200	0.01965886472
201	0.01962753823
202	0.019595354
203	0.01956470096
204	0.01954391854
205	0.01940519203
206	0.01915241983
207	0.01903474977
208	0.01900849213
209	0.01876669875
210	0.01862126655
211	0.01851260907
212	0.01833594883
213	0.01820838645
214	0.01799902938
215	0.01797393939
216	0.01795293729
217	0.01787195041
218	0.01773600195
219	0.01756946079
220	0.01738552276
221	0.01736283734
222	0.0172603046
223	0.01713637688
224	0.01701593108
225	0.01683714795
226	0.01681401568
227	0.01669775224
228	0.01668123359
229	0.01644659993
230	0.01642355307
231	0.01640542569
232	0.01630267175
233	0.01628171569
234	0.01626668801
235	0.01612925131
236	0.01611415416
237	0.01609727161
238	0.0160294837
239	0.01601125789
240	0.01591063326
241	0.01589237861
242	0.01579023577
243	0.01564648
244	0.01563252984
245	0.01556947868
246	0.01542718628
247	0.01541276511
248	0.01540068261
249	0.01538679099
250	0.01537094196
251	0.01526588392
252	0.01525074012
253	0.01514727218
254	0.01513641647
255	0.01503567956
256	0.0150241264
257	0.01490622274
258	0.01481345617
259	0.01468444613
260	0.01454366593
261	0.01453306004
262	0.01447843821
263	0.01436315769
264	0.0142797289
265	0.01412890982
266	0.01409625463
267	0.01400579952
268	0.01388678487
269	0.01377876082
270	0.0137660771
271	0.01375640842
272	0.01364421027
273	0.01363410884
274	0.01352334505
275	0.01343207541
276	0.01341997107
277	0.01340742984
278	0.01328307238
279	0.01327252174
280	0.01314656788
281	0.01313684616
282	0.01312568157
283	0.01311572767
284	0.0131066756
285	0.01303609967
286	0.01297194548
287	0.01296204042
288	0.01289579385
289	0.01288929526
290	0.01279916899
291	0.01279019771
292	0.01278151237
293	0.01267927541
294	0.01260114391
295	0.01255378185
296	0.01246835746
297	0.01237464738
298	0.0123125861
299	0.01225017983
300	0.01218283671
301	0.01217266722
302	0.01207640314
303	0.01199139471
304	0.01198263089
305	0.01190506784
306	0.01183062592
307	0.01174468882
